revwNum,kbcSiteCode,revwKindCode,revwPatrCode,mmbrNum,mmbrId,cretDttm,revwCntt,revwEmtnKywrPatrCode,revwEmtnKywrCode,revwEmtnKywrName,revwRvgr,splrInclYsno,hdngYsno,cttsHdngRsnCode,hdngRsn,attndChekTrgtYsno,ordrId,rewardEvcAmnt,rewardEvcIsncYsno,rewardEvcIsncDate,mgrRewardEvcIsncYsno,mgrRewardEvcIsncRsn,evntId,dltYsno,saleCmdtid,saleCmdtDvsnCode,cmdtName,cmdtcode,saleLmttAge,recdcode,saleCmdtGrpDvsnCode,imgUrl,crtrId,amnrId,reviewAtacList,reviewAtacCount,atacFileNum,reviewRecommendCount,reviewCommentCount,reviewDeclarationCount,reviewRecommendUserYsno,declaration5timesYsno,declarationUserYsno,blockUserYsno,firstRevwNum,oneMonthRevwNum,chrcList,fndgPrjtSrmb,turnSrmb
2400006,001,001,002,12002391288,bv******,2017-04-26 16:14:03.983,유용합니다.,002,005,추천해요,3,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,12*********,12*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400058,001,001,002,62004092831,ha*******,2017-04-19 06:45:59.99,기본지식 수준이 낮아서 어렵긴하지만 좋네요,002,005,추천해요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,62*********,62*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400063,001,001,002,62005273479,ss***,2017-04-16 20:56:01.42,딥러닝 입문서로는 최고인거 같습니다.,002,001,집중돼요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,62*********,62*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400015,001,001,002,32007340280,wj********,2017-04-14 15:09:06.443,정말 잘 읽고있습니다 ㅎ,002,005,추천해요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,32*********,32*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400065,001,001,002,62005382744,tc*****,2017-04-06 14:17:16.63,기초부터 차근차근 접근하여 이해가 쉽게감!,002,002,도움돼요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,62*********,62*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400071,001,001,002,62008023338,sk******,2017-03-28 01:01:08.83,입문용으로 괜찮습니다,002,005,추천해요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,62*********,62*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400070,001,001,002,62007462727,oo*******,2017-03-17 17:04:00.79,좋습니다~!,002,002,도움돼요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,62*********,62*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400005,001,001,002,12002080812,gi*****,2017-03-14 20:54:27.666,딥러닝 입문하기 좋은책,002,001,집중돼요,1,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,12*********,12*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400007,001,001,002,12002531087,me*******,2017-03-08 09:48:43.19,기본을 하나하나 설명해주는 아주 좋은 Deep Learing 지침서 같습니다. 두루뭉술한 내용이 아닌 깊이가 느껴지는 좋은 책입니다. 강추합니다.,002,003,쉬웠어요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,12*********,12*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400091,001,001,002,62014302068,si*****,2017-03-06 20:29:22.223,간단하면서도 핵심이 정확해서 참 좋네요.,002,002,도움돼요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,62*********,62*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
